  QueueTimes | ServiceTimes | SojournTimes
       0.097 |        0.608 |        0.705
       0.159 |        0.626 |        0.785
       0.099 |        0.679 |        0.779
       0.069 |        0.368 |        0.437
       0.068 |        0.541 |        0.608
       0.101 |        1.171 |        1.272
       0.082 |        0.480 |        0.562
       0.118 |        3.050 |        3.168
       0.060 |        0.665 |        0.725
       0.165 |        0.537 |        0.702
       0.062 |        0.375 |        0.437
       0.081 |        3.345 |        3.427
       0.109 |        0.347 |        0.456
       0.100 |        0.495 |        0.595
       0.082 |        0.434 |        0.516
       0.099 |        0.509 |        0.607
       0.109 |        0.845 |        0.954
       0.136 |        1.346 |        1.482
       0.225 |        1.043 |        1.267
       0.180 |        0.884 |        1.065
       0.058 |        1.267 |        1.325
       0.064 |        0.668 |        0.732
       0.115 |        0.791 |        0.906
       0.072 |        0.485 |        0.558
       0.094 |        1.227 |        1.321
       0.113 |        0.615 |        0.727
       0.066 |        2.635 |        2.701
       0.136 |        0.505 |        0.641
       0.147 |        0.422 |        0.569
       0.146 |        0.540 |        0.686
       0.116 |        0.430 |        0.546
       0.090 |        0.617 |        0.707
       0.071 |        0.501 |        0.572
       0.071 |        0.668 |        0.739
       0.071 |        1.432 |        1.503
       0.057 |        0.341 |        0.398
       0.090 |        1.040 |        1.130
       0.064 |        0.856 |        0.920
       0.127 |        0.517 |        0.644
       0.124 |        0.793 |        0.917
       0.079 |        1.476 |        1.554
       0.104 |        2.584 |        2.688
       0.125 |        1.835 |        1.960
       0.091 |        0.553 |        0.644
       0.145 |        0.313 |        0.458
       0.085 |        0.862 |        0.947
       0.078 |        0.674 |        0.752
       0.084 |        0.390 |        0.474
       0.112 |        0.637 |        0.749
       0.139 |        0.567 |        0.706
       0.146 |        0.692 |        0.838
       0.212 |        0.433 |        0.645
       0.141 |        0.944 |        1.085
       0.123 |        0.538 |        0.661
       0.088 |        1.052 |        1.140
       0.079 |        0.488 |        0.567
       0.096 |        1.292 |        1.389
       0.110 |        0.614 |        0.725
       0.092 |        0.527 |        0.619
       0.105 |        1.343 |        1.448
       0.207 |        0.646 |        0.853
       0.194 |        2.654 |        2.849
       0.256 |        2.036 |        2.291
       0.073 |        0.564 |        0.636
       0.057 |        0.417 |        0.474
       0.151 |        1.442 |        1.593
       0.061 |        0.736 |        0.797
       0.117 |        0.504 |        0.622
       0.240 |        3.546 |        3.785
       0.056 |        0.962 |        1.018
       0.090 |        2.134 |        2.223
       0.091 |        0.665 |        0.756
       0.070 |        1.186 |        1.255
       0.161 |        3.338 |        3.499
       0.085 |        1.218 |        1.303
       0.077 |        0.499 |        0.576
       0.079 |        0.353 |        0.433
       0.125 |        0.436 |        0.561
       0.085 |        1.629 |        1.714
       0.135 |        1.303 |        1.438
       0.064 |        0.949 |        1.013
       0.060 |        0.543 |        0.603
       0.149 |        0.449 |        0.598
       0.066 |        0.401 |        0.468
       0.109 |        0.352 |        0.461
       0.158 |        0.973 |        1.131
       0.066 |        0.276 |        0.342
       0.073 |        0.201 |        0.274
       0.112 |        0.509 |        0.621
       0.067 |        3.630 |        3.698
       0.253 |        0.875 |        1.128
       0.090 |        1.508 |        1.598
       0.147 |        0.649 |        0.796
       0.098 |        0.853 |        0.951
       0.117 |        1.594 |        1.711
       0.074 |        1.085 |        1.159
       0.140 |        0.486 |        0.625
       0.056 |        0.591 |        0.647
       0.089 |        1.676 |        1.765
       0.071 |        1.464 |        1.535
       0.124 |        1.400 |        1.524
       0.067 |        0.844 |        0.911
       0.076 |        1.401 |        1.478
       0.061 |        0.439 |        0.500
       0.073 |        0.549 |        0.622
       0.065 |        0.288 |        0.353
       0.132 |        0.554 |        0.686
       0.077 |        1.562 |        1.640
       0.149 |        0.464 |        0.613
       0.076 |        0.583 |        0.659
       0.246 |        0.288 |        0.534
       0.127 |        0.589 |        0.716
       0.074 |        0.523 |        0.596
       0.070 |        0.858 |        0.928
       0.082 |        1.018 |        1.101
       0.057 |        0.384 |        0.441
       0.050 |        0.270 |        0.319
       0.064 |        1.187 |        1.251
       0.146 |        0.503 |        0.649
       0.071 |        0.770 |        0.841
       0.052 |        0.936 |        0.988
       0.053 |        0.334 |        0.387
       0.169 |        1.860 |        2.029
       0.050 |        0.436 |        0.486
       0.085 |        0.681 |        0.766
       0.066 |        2.070 |        2.136
       0.072 |        0.888 |        0.960
       0.127 |        0.592 |        0.719
       0.117 |        0.632 |        0.749
       0.172 |        0.492 |        0.664
       0.109 |        0.540 |        0.649
       0.065 |        0.482 |        0.547
       0.104 |        2.416 |        2.520
       0.059 |        0.991 |        1.050
       0.086 |        1.207 |        1.294
       0.064 |        1.237 |        1.301
       0.069 |        0.662 |        0.731
       0.208 |        0.781 |        0.989
       0.072 |        2.420 |        2.492
       0.077 |        0.389 |        0.467
       0.063 |        1.614 |        1.677
       0.139 |        0.666 |        0.805
       0.165 |        0.580 |        0.745
       0.090 |        0.428 |        0.519
       0.076 |        0.683 |        0.759
       0.118 |        1.334 |        1.451
       0.090 |        1.575 |        1.665
       0.062 |        2.312 |        2.374
       0.061 |        0.409 |        0.470
       0.135 |        0.789 |        0.924
       0.079 |        1.193 |        1.272
       0.105 |        2.087 |        2.192
       0.076 |        1.282 |        1.358
       0.100 |        0.376 |        0.476
       0.058 |        0.638 |        0.696
       0.085 |        0.537 |        0.623
       0.077 |        2.116 |        2.193
       0.060 |        0.488 |        0.548
       0.087 |        0.302 |        0.389
       0.062 |        0.742 |        0.803
       0.065 |        1.606 |        1.671
       0.051 |        0.429 |        0.479
       0.131 |        0.773 |        0.903
       0.188 |        3.061 |        3.248
       0.205 |        0.250 |        0.454
       0.104 |        1.485 |        1.590
       0.081 |        0.540 |        0.621
       0.110 |        1.684 |        1.794
       0.097 |        1.088 |        1.184
       0.124 |        0.706 |        0.830
       0.108 |        0.400 |        0.508
       0.077 |        0.595 |        0.673
       0.172 |        0.650 |        0.823
       0.104 |        1.013 |        1.117
       0.066 |        0.373 |        0.438
       0.153 |        0.417 |        0.570
       0.108 |        1.457 |        1.565
       0.108 |        1.100 |        1.209
       0.165 |        2.123 |        2.288
       0.078 |        0.842 |        0.919
       0.146 |        1.177 |        1.322
       0.098 |        0.540 |        0.638
       0.087 |        0.732 |        0.819
       0.070 |        0.595 |        0.665
       0.070 |        0.421 |        0.491
       0.062 |        0.444 |        0.506
       0.103 |        0.621 |        0.724
       0.086 |        1.881 |        1.967
       0.111 |        0.851 |        0.962
       0.234 |        0.440 |        0.674
       0.086 |        1.159 |        1.244
       0.060 |        0.408 |        0.468
       0.072 |        1.110 |        1.182
       0.087 |        0.645 |        0.732
       0.133 |        1.923 |        2.056
       0.091 |        0.506 |        0.597
       0.061 |        0.467 |        0.528
       0.052 |        1.404 |        1.456
       0.120 |        0.788 |        0.908
       0.075 |        0.733 |        0.809
       0.088 |        3.303 |        3.392
       0.094 |        0.637 |        0.731
       0.109 |        2.616 |        2.725
       0.074 |        0.429 |        0.503
       0.112 |        0.375 |        0.487
       0.105 |        0.820 |        0.925
       0.092 |        1.576 |        1.667
       0.085 |        1.762 |        1.847
       0.160 |        0.821 |        0.980
       0.104 |        0.738 |        0.842
       0.104 |        1.249 |        1.353
       0.086 |        2.412 |        2.498
       0.083 |        3.156 |        3.239
       0.163 |        0.693 |        0.856
       0.187 |        0.404 |        0.591
       0.087 |        0.975 |        1.062
       0.169 |        0.335 |        0.505
       0.070 |        1.366 |        1.436
       0.064 |        1.335 |        1.399
       0.073 |        0.789 |        0.862
       0.124 |        0.873 |        0.998
       0.100 |        1.072 |        1.172
       0.111 |        0.951 |        1.061
       0.079 |        1.622 |        1.701
       0.109 |        0.820 |        0.929
       0.079 |        0.513 |        0.592
       0.121 |        2.485 |        2.607
       0.177 |        0.958 |        1.135
       0.094 |        0.300 |        0.394
       0.067 |        1.992 |        2.058
       0.078 |        1.028 |        1.106
       0.074 |        0.522 |        0.596
       0.087 |        1.369 |        1.456
       0.060 |        0.487 |        0.548
       0.075 |        0.833 |        0.907
       0.061 |        0.409 |        0.470
       0.116 |        0.887 |        1.003
       0.056 |        0.707 |        0.763
       0.079 |        0.470 |        0.550
       0.069 |        0.464 |        0.533
       0.071 |        0.217 |        0.288
       0.062 |        0.542 |        0.603
       0.071 |        1.159 |        1.230
       0.073 |        2.651 |        2.723
       0.136 |        2.803 |        2.939
       0.059 |        0.538 |        0.598
       0.138 |        0.957 |        1.095
       0.142 |        1.196 |        1.338
       0.095 |        0.674 |        0.769
       0.188 |        0.648 |        0.835
       0.081 |        0.997 |        1.079
       0.133 |        0.842 |        0.975
       0.075 |        0.585 |        0.661
       0.073 |        0.777 |        0.850
       0.092 |        1.668 |        1.760
       0.078 |        1.552 |        1.630
       0.131 |        0.484 |        0.614
       0.115 |        0.850 |        0.965
       0.063 |        1.003 |        1.067
       0.103 |        2.599 |        2.702
       0.127 |        0.513 |        0.640
       0.073 |        2.291 |        2.365
       0.150 |        1.152 |        1.302
       0.087 |        0.379 |        0.465
       0.093 |        0.528 |        0.621
       0.155 |        1.535 |        1.690
       0.064 |        0.849 |        0.912
       0.061 |        0.269 |        0.331
       0.128 |        0.688 |        0.816
       0.262 |        2.459 |        2.721
       0.071 |        0.478 |        0.549
       0.143 |        0.475 |        0.617
       0.077 |        0.588 |        0.666
       0.105 |        0.617 |        0.723
       0.061 |        0.902 |        0.963
       0.068 |        1.043 |        1.111
       0.100 |        0.930 |        1.030
       0.185 |        0.450 |        0.635
       0.085 |        1.029 |        1.114
       0.160 |        0.695 |        0.855
       0.115 |        0.904 |        1.019
       0.068 |        0.676 |        0.744
       0.063 |        1.135 |        1.198
       0.083 |        2.239 |        2.322
       0.076 |        0.356 |        0.431
       0.105 |        1.412 |        1.517
       0.156 |        0.684 |        0.840
       0.173 |        0.355 |        0.528
       0.070 |        1.457 |        1.527
       0.074 |        0.417 |        0.491
       0.064 |        0.344 |        0.408
       0.074 |        0.447 |        0.522
       0.065 |        0.540 |        0.605
       0.070 |        0.823 |        0.894
       0.070 |        1.119 |        1.189
       0.077 |        0.535 |        0.612
       0.134 |        0.395 |        0.529
       0.075 |        2.805 |        2.880
       0.093 |        0.530 |        0.623
       0.199 |        0.719 |        0.918
       0.160 |        0.417 |        0.578
       0.088 |        0.580 |        0.668
       0.069 |        2.530 |        2.599
       0.084 |        1.042 |        1.125
       0.062 |        0.727 |        0.789
       0.098 |        0.525 |        0.623
       0.066 |        0.610 |        0.676
       0.087 |        1.038 |        1.125
       0.169 |        0.792 |        0.961
       0.095 |        0.504 |        0.599
       0.090 |        1.856 |        1.946
       0.140 |        0.592 |        0.732
       0.215 |        0.628 |        0.844
       0.087 |        2.579 |        2.666
       0.260 |        1.293 |        1.553
       0.182 |        2.290 |        2.472
       0.118 |        0.405 |        0.523
       0.181 |        0.535 |        0.716
       0.084 |        0.562 |        0.646
       0.096 |        0.529 |        0.625
       0.095 |        0.786 |        0.881
       0.066 |        0.617 |        0.683
       0.077 |        0.320 |        0.397
       0.056 |        0.340 |        0.395
       0.165 |        4.411 |        4.576
       0.077 |        0.475 |        0.552
       0.080 |        0.719 |        0.799
       0.075 |        0.678 |        0.753
       0.087 |        0.616 |        0.704
       0.080 |        0.841 |        0.921
       0.079 |        0.574 |        0.653
       0.084 |        0.341 |        0.424
       0.066 |        0.405 |        0.471
       0.107 |        1.204 |        1.311
       0.087 |        1.059 |        1.146
       0.171 |        2.749 |        2.920
       0.106 |        0.413 |        0.519
       0.096 |        0.618 |        0.713
       0.149 |        0.954 |        1.103
       0.089 |        1.235 |        1.324
       0.132 |        1.565 |        1.697
       0.117 |        1.259 |        1.376
       0.080 |        0.300 |        0.381
       0.153 |        1.142 |        1.295
       0.063 |        0.536 |        0.600
       0.068 |        0.415 |        0.483
       0.060 |        0.491 |        0.550
       0.078 |        0.554 |        0.632
       0.061 |        0.318 |        0.379
       0.074 |        0.520 |        0.594
       0.066 |        0.334 |        0.401
       0.077 |        1.274 |        1.350
       0.078 |        0.464 |        0.542
       0.077 |        0.405 |        0.482
       0.076 |        1.369 |        1.446
       0.068 |        0.587 |        0.655
       0.055 |        0.502 |        0.557
       0.133 |        0.592 |        0.725
       0.080 |        0.769 |        0.849
       0.078 |        0.390 |        0.468
       0.123 |        0.806 |        0.930
       0.212 |        3.086 |        3.299
       0.076 |        0.468 |        0.545
       0.067 |        0.675 |        0.741
       0.065 |        1.050 |        1.114
       0.074 |        1.134 |        1.209
       0.086 |        0.638 |        0.724
       0.202 |        2.936 |        3.138
       0.102 |        0.494 |        0.596
       0.143 |        0.298 |        0.441
       0.230 |        2.538 |        2.768
       0.132 |        0.397 |        0.529
       0.112 |        0.516 |        0.628
       0.130 |        0.835 |        0.964
       0.057 |        0.447 |        0.504
       0.108 |        1.077 |        1.185
       0.065 |        0.480 |        0.546
       0.086 |        2.720 |        2.806
       0.065 |        1.073 |        1.138
       0.128 |        0.763 |        0.890
       0.080 |        0.632 |        0.711
       0.070 |        0.505 |        0.575
       0.076 |        1.475 |        1.550
       0.080 |        0.520 |        0.599
       0.069 |        0.930 |        0.999
       0.066 |        0.388 |        0.454
       0.127 |        0.782 |        0.910
       0.127 |        1.393 |        1.520
       0.209 |        0.457 |        0.666
       0.080 |        1.779 |        1.859
       0.097 |        0.326 |        0.423
       0.081 |        0.242 |        0.323
       0.068 |        1.551 |        1.619
       0.064 |        1.389 |        1.453
       0.072 |        0.486 |        0.558
       0.061 |        1.072 |        1.132
       0.079 |        2.221 |        2.300
       0.140 |        1.823 |        1.963
       0.055 |        0.500 |        0.555
       0.122 |        0.823 |        0.945
       0.061 |        0.305 |        0.365
       0.087 |        0.670 |        0.757
       0.058 |        1.947 |        2.004
       0.052 |        0.334 |        0.386
       0.063 |        0.432 |        0.495
       0.078 |        0.865 |        0.943
       0.052 |        2.080 |        2.132
       0.116 |        2.239 |        2.355
       0.054 |        0.446 |        0.500
       0.088 |        1.031 |        1.119
       0.074 |        1.515 |        1.589
       0.073 |        1.254 |        1.327
       0.159 |        1.998 |        2.157
       0.115 |        0.838 |        0.953
       0.053 |        0.364 |        0.417
       0.077 |        1.831 |        1.908
       0.092 |        0.301 |        0.393
       0.069 |        1.183 |        1.251
       0.170 |        2.093 |        2.264
       0.065 |        1.015 |        1.080
       0.093 |        2.135 |        2.228
       0.121 |        0.422 |        0.543
       0.073 |        0.841 |        0.915
       0.052 |        0.344 |        0.396
       0.116 |        0.652 |        0.768
       0.093 |        1.061 |        1.154
       0.107 |        1.004 |        1.111
       0.096 |        1.413 |        1.509
       0.135 |        0.371 |        0.506
       0.064 |        0.719 |        0.783
       0.171 |        2.771 |        2.942
       0.090 |        0.331 |        0.421
       0.068 |        0.270 |        0.338
       0.084 |        1.274 |        1.357
       0.066 |        0.536 |        0.601
       0.068 |        0.258 |        0.327
       0.058 |        0.332 |        0.391
       0.084 |        0.580 |        0.664
       0.141 |        0.454 |        0.595
       0.094 |        0.571 |        0.664
       0.072 |        1.920 |        1.993
       0.064 |        0.632 |        0.697
       0.091 |        0.784 |        0.875
       0.055 |        0.734 |        0.789
       0.139 |        0.404 |        0.543
       0.092 |        2.194 |        2.286
       0.109 |        0.928 |        1.037
       0.084 |        0.483 |        0.567
       0.122 |        0.527 |        0.649
       0.106 |        1.394 |        1.499
       0.156 |        1.425 |        1.581
       0.089 |        0.473 |        0.562
       0.071 |        0.718 |        0.790
       0.073 |        0.413 |        0.486
       0.070 |        0.752 |        0.822
       0.078 |        0.670 |        0.749
       0.156 |        0.550 |        0.706
       0.084 |        0.679 |        0.763
       0.073 |        0.677 |        0.750
       0.053 |        1.865 |        1.917
       0.132 |        0.575 |        0.707
       0.069 |        0.653 |        0.722
       0.053 |        0.564 |        0.617
       0.111 |        0.473 |        0.584
       0.090 |        0.372 |        0.462
       0.103 |        0.414 |        0.517
       0.061 |        1.196 |        1.258
       0.101 |        1.511 |        1.612
       0.143 |        2.029 |        2.172
       0.124 |        1.040 |        1.164
       0.148 |        0.463 |        0.612
       0.129 |        0.347 |        0.476
       0.062 |        0.494 |        0.556
       0.113 |        2.093 |        2.206
       0.094 |        0.500 |        0.594
       0.159 |        1.089 |        1.247
       0.058 |        1.679 |        1.737
       0.073 |        0.507 |        0.580
       0.064 |        1.732 |        1.797
       0.108 |        0.598 |        0.705
       0.138 |        0.523 |        0.661
       0.159 |        1.156 |        1.315
       0.068 |        1.418 |        1.486
       0.135 |        0.442 |        0.576
       0.096 |        0.665 |        0.760
       0.196 |        1.909 |        2.105
       0.219 |        0.756 |        0.975
       0.107 |        0.952 |        1.058
       0.091 |        0.870 |        0.960
       0.070 |        0.419 |        0.489
       0.078 |        0.872 |        0.950
       0.150 |        1.296 |        1.446
       0.085 |        0.360 |        0.445
       0.091 |        2.267 |        2.358
       0.061 |        0.453 |        0.514
       0.065 |        1.977 |        2.042
       0.055 |        0.537 |        0.592
       0.108 |        0.539 |        0.648
       0.099 |        1.595 |        1.694
       0.071 |        2.318 |        2.389
       0.110 |        1.987 |        2.097
       0.072 |        0.583 |        0.655
       0.062 |        0.790 |        0.851
       0.078 |        0.335 |        0.413
       0.137 |        0.397 |        0.534
       0.063 |        0.383 |        0.446
       0.053 |        0.398 |        0.451
       0.050 |        0.523 |        0.573
       0.140 |        0.547 |        0.686
       0.204 |        0.672 |        0.876
       0.059 |        1.943 |        2.002
       0.072 |        1.100 |        1.172
       0.116 |        0.558 |        0.673
       0.063 |        0.356 |        0.420
       0.052 |        0.841 |        0.894
       0.133 |        0.789 |        0.921
       0.076 |        1.369 |        1.446
       0.087 |        1.073 |        1.160
       0.181 |        0.836 |        1.017
       0.078 |        2.313 |        2.391
       0.148 |        0.502 |        0.650
       0.058 |        0.479 |        0.537
       0.054 |        0.450 |        0.504
       0.135 |        1.348 |        1.483
       0.153 |        0.333 |        0.485
       0.119 |        0.566 |        0.685
       0.100 |        0.601 |        0.701
       0.140 |        1.012 |        1.153
       0.124 |        0.883 |        1.007
       0.200 |        0.535 |        0.735
       0.087 |        1.749 |        1.836
       0.257 |        0.581 |        0.837
       0.157 |        0.569 |        0.726
       0.055 |        0.323 |        0.378
       0.067 |        1.606 |        1.673
       0.130 |        1.750 |        1.880
       0.085 |        0.547 |        0.632
       0.064 |        0.632 |        0.695
       0.077 |        1.153 |        1.229
       0.075 |        0.523 |        0.598
       0.194 |        2.529 |        2.723
       0.053 |        0.366 |        0.418
       0.264 |        2.132 |        2.397
       0.161 |        0.792 |        0.953
       0.067 |        0.462 |        0.530
       0.105 |        0.379 |        0.484
       0.129 |        0.376 |        0.505
       0.062 |        1.603 |        1.665
       0.076 |        1.647 |        1.722
       0.072 |        0.754 |        0.826
       0.085 |        1.754 |        1.839
       0.051 |        0.586 |        0.637
       0.051 |        0.542 |        0.593
       0.106 |        2.223 |        2.329
       0.051 |        0.434 |        0.485
       0.050 |        1.397 |        1.447
       0.068 |        0.385 |        0.452
       0.140 |        0.380 |        0.520
       0.087 |        1.163 |        1.250
       0.102 |        0.407 |        0.509
       0.082 |        0.458 |        0.540
       0.068 |        1.908 |        1.977
       0.070 |        0.378 |        0.448
       0.164 |        1.871 |        2.036
       0.202 |        1.022 |        1.224
       0.082 |        0.634 |        0.716
       0.087 |        1.040 |        1.127
       0.141 |        1.369 |        1.510
       0.060 |        0.528 |        0.587
       0.069 |        0.674 |        0.743
       0.137 |        1.343 |        1.479
       0.060 |        0.347 |        0.407
       0.083 |        0.344 |        0.427
       0.233 |        0.564 |        0.797
       0.158 |        0.955 |        1.113
       0.054 |        0.687 |        0.741
       0.075 |        1.538 |        1.612
       0.074 |        0.502 |        0.576
       0.073 |        0.405 |        0.478
       0.172 |        1.032 |        1.204
       0.067 |        2.085 |        2.152
       0.115 |        0.368 |        0.483
       0.066 |        0.632 |        0.698
       0.064 |        0.315 |        0.379
       0.127 |        1.792 |        1.919
       0.081 |        0.435 |        0.516
       0.129 |        0.767 |        0.896
       0.132 |        1.000 |        1.132
       0.082 |        0.396 |        0.478
       0.181 |        1.079 |        1.260
       0.185 |        0.813 |        0.998
       0.061 |        0.379 |        0.440
       0.061 |        0.351 |        0.412
       0.071 |        1.360 |        1.431
       0.069 |        2.872 |        2.941
       0.082 |        0.545 |        0.627
       0.061 |        1.321 |        1.382
       0.073 |        1.034 |        1.107
       0.073 |        0.480 |        0.553
       0.063 |        0.575 |        0.638
       0.130 |        0.386 |        0.516
       0.084 |        3.790 |        3.874
       0.129 |        0.481 |        0.610
       0.069 |        1.813 |        1.881
       0.099 |        0.576 |        0.675
       0.067 |        2.658 |        2.726
       0.078 |        0.528 |        0.606
       0.081 |        2.923 |        3.004
       0.156 |        1.384 |        1.540
       0.139 |        0.606 |        0.745
       0.068 |        1.786 |        1.854
       0.118 |        2.129 |        2.247
       0.081 |        0.776 |        0.857
       0.101 |        0.810 |        0.911
       0.079 |        0.707 |        0.786
       0.063 |        0.499 |        0.563
       0.064 |        0.447 |        0.511
       0.079 |        0.623 |        0.702
       0.191 |        2.298 |        2.489
       0.082 |        0.760 |        0.842
       0.147 |        0.616 |        0.762
       0.061 |        1.329 |        1.390
       0.071 |        0.441 |        0.512
       0.168 |        0.876 |        1.044
       0.067 |        0.412 |        0.480
       0.068 |        0.727 |        0.796
       0.074 |        0.688 |        0.762
       0.073 |        0.712 |        0.785
       0.067 |        1.403 |        1.470
       0.132 |        0.387 |        0.519
       0.097 |        0.371 |        0.468
       0.078 |        2.439 |        2.517
       0.065 |        0.462 |        0.527
       0.067 |        0.529 |        0.597
       0.053 |        1.806 |        1.858
       0.108 |        1.044 |        1.151
       0.082 |        0.562 |        0.645
       0.065 |        0.663 |        0.728
       0.066 |        0.666 |        0.732
       0.089 |        0.756 |        0.845
       0.159 |        1.712 |        1.871
       0.107 |        0.392 |        0.499
       0.107 |        1.530 |        1.637
       0.066 |        1.773 |        1.840
       0.074 |        0.713 |        0.786
       0.070 |        0.405 |        0.476
       0.081 |        0.630 |        0.710
       0.082 |        0.522 |        0.604
       0.073 |        0.760 |        0.833
       0.076 |        0.391 |        0.467
       0.062 |        0.479 |        0.541
       0.128 |        0.788 |        0.916
       0.095 |        1.141 |        1.235
       0.166 |        0.422 |        0.587
       0.109 |        1.502 |        1.611
       0.072 |        0.739 |        0.812
       0.153 |        0.435 |        0.588
       0.062 |        0.452 |        0.514
       0.161 |        2.681 |        2.842
       0.114 |        0.459 |        0.574
       0.054 |        0.685 |        0.738
       0.113 |        0.808 |        0.921
       0.056 |        1.337 |        1.393
       0.064 |        0.541 |        0.605
       0.059 |        0.350 |        0.409
       0.069 |        3.009 |        3.078
       0.088 |        0.584 |        0.672
       0.075 |        0.628 |        0.703
       0.116 |        0.419 |        0.534
       0.157 |        0.615 |        0.772
       0.146 |        1.304 |        1.449
       0.120 |        0.976 |        1.096
       0.097 |        2.537 |        2.634
       0.103 |        0.476 |        0.579
       0.100 |        1.072 |        1.172
       0.154 |        0.380 |        0.534
       0.174 |        1.488 |        1.662
       0.101 |        0.674 |        0.775
       0.076 |        0.448 |        0.524
       0.103 |        1.644 |        1.747
       0.062 |        1.187 |        1.249
       0.132 |        0.977 |        1.109
       0.097 |        0.745 |        0.841
       0.060 |        1.900 |        1.960
       0.093 |        0.630 |        0.723
       0.060 |        0.443 |        0.503
       0.081 |        0.403 |        0.483
       0.101 |        0.262 |        0.362
       0.094 |        0.268 |        0.362
       0.091 |        1.016 |        1.107
       0.133 |        0.791 |        0.924
       0.061 |        0.488 |        0.549
       0.075 |        2.337 |        2.412
       0.071 |        1.434 |        1.504
       0.127 |        1.125 |        1.252
       0.065 |        0.539 |        0.604
       0.144 |        0.756 |        0.900
       0.069 |        1.110 |        1.179
       0.101 |        1.167 |        1.268
       0.090 |        0.610 |        0.700
       0.121 |        0.267 |        0.388
       0.062 |        1.444 |        1.506
       0.051 |        0.414 |        0.465
       0.081 |        0.280 |        0.361
       0.075 |        0.374 |        0.449
       0.062 |        1.719 |        1.781
       0.099 |        1.308 |        1.407
       0.084 |        1.472 |        1.556
       0.059 |        0.349 |        0.408
       0.110 |        0.505 |        0.615
       0.108 |        0.299 |        0.407
       0.148 |        0.421 |        0.569
       0.149 |        0.670 |        0.819
       0.076 |        0.488 |        0.564
       0.155 |        0.641 |        0.796
       0.069 |        0.491 |        0.560
       0.103 |        0.396 |        0.498
       0.186 |        1.270 |        1.456
       0.174 |        1.684 |        1.858
       0.075 |        1.476 |        1.551
       0.109 |        0.399 |        0.508
       0.070 |        0.308 |        0.378
       0.073 |        1.807 |        1.879
       0.061 |        1.666 |        1.727
       0.077 |        0.726 |        0.803
       0.083 |        0.960 |        1.043
       0.130 |        0.389 |        0.519
       0.090 |        0.657 |        0.748
       0.066 |        2.599 |        2.665
       0.065 |        1.190 |        1.255
       0.186 |        1.893 |        2.079
       0.153 |        0.971 |        1.124
       0.065 |        0.335 |        0.400
       0.214 |        0.312 |        0.527
       0.085 |        1.469 |        1.553
       0.115 |        0.310 |        0.425
       0.064 |        0.511 |        0.575
       0.077 |        1.682 |        1.759
       0.077 |        0.656 |        0.733
       0.090 |        3.250 |        3.339
       0.148 |        0.462 |        0.609
       0.068 |        0.434 |        0.502
       0.061 |        1.000 |        1.061
       0.073 |        0.341 |        0.414
       0.074 |        0.276 |        0.350
       0.069 |        1.598 |        1.667
       0.136 |        0.638 |        0.774
       0.110 |        3.272 |        3.383
       0.089 |        0.924 |        1.013
       0.064 |        1.356 |        1.420
       0.052 |        0.556 |        0.608
       0.125 |        0.555 |        0.680
       0.060 |        0.680 |        0.739
       0.061 |        0.439 |        0.500
       0.070 |        0.646 |        0.715
       0.086 |        0.677 |        0.763
       0.080 |        0.655 |        0.735
       0.097 |        0.358 |        0.455
       0.177 |        1.671 |        1.848
       0.101 |        0.514 |        0.615
       0.164 |        1.058 |        1.223
       0.093 |        2.165 |        2.258
       0.102 |        1.003 |        1.105
       0.081 |        0.663 |        0.744
       0.073 |        1.542 |        1.616
       0.079 |        1.113 |        1.192
       0.113 |        0.388 |        0.501
       0.075 |        1.079 |        1.154
       0.156 |        0.449 |        0.605
       0.068 |        0.918 |        0.986
       0.065 |        1.362 |        1.427
       0.065 |        2.527 |        2.592
       0.090 |        0.516 |        0.606
       0.074 |        0.325 |        0.399
       0.109 |        1.056 |        1.165
       0.084 |        0.540 |        0.624
       0.076 |        0.332 |        0.409
       0.076 |        0.707 |        0.784
       0.136 |        2.203 |        2.339
       0.079 |        1.061 |        1.140
       0.082 |        0.653 |        0.735
       0.075 |        0.694 |        0.769
       0.061 |        0.500 |        0.561
       0.077 |        0.749 |        0.826
       0.129 |        0.550 |        0.680
       0.228 |        2.720 |        2.949
       0.099 |        0.430 |        0.529
       0.077 |        1.108 |        1.185
       0.123 |        0.556 |        0.679
       0.071 |        0.586 |        0.657
       0.154 |        0.290 |        0.444
       0.091 |        1.113 |        1.204
       0.176 |        0.604 |        0.781
       0.114 |        0.377 |        0.491
       0.081 |        0.593 |        0.673
       0.116 |        2.243 |        2.359
       0.172 |        0.878 |        1.050
       0.075 |        1.806 |        1.881
       0.073 |        0.689 |        0.762
       0.069 |        2.035 |        2.104
       0.083 |        1.855 |        1.938
       0.201 |        0.727 |        0.928
       0.074 |        0.320 |        0.394
       0.081 |        2.401 |        2.482
       0.110 |        0.663 |        0.773
       0.152 |        0.464 |        0.616
       0.061 |        1.948 |        2.009
       0.051 |        0.331 |        0.381
       0.128 |        0.415 |        0.543
       0.074 |        0.727 |        0.801
       0.111 |        1.034 |        1.145
       0.254 |        0.544 |        0.799
       0.077 |        0.469 |        0.545
       0.051 |        0.512 |        0.564
       0.103 |        2.257 |        2.360
       0.064 |        2.058 |        2.122
       0.094 |        0.453 |        0.547
       0.084 |        1.214 |        1.298
       0.106 |        0.982 |        1.088
       0.143 |        0.599 |        0.743
       0.073 |        1.021 |        1.094
       0.053 |        2.078 |        2.131
