  QueueTimes | ServiceTimes | SojournTimes
       0.114 |        0.401 |        0.514
       0.094 |        0.871 |        0.965
       0.075 |        0.328 |        0.403
       0.147 |        1.663 |        1.810
       0.203 |        1.055 |        1.258
       0.118 |        0.588 |        0.705
       0.074 |        2.336 |        2.409
       0.103 |        0.740 |        0.842
       0.133 |        2.455 |        2.588
       0.060 |        0.375 |        0.435
       0.075 |        0.827 |        0.902
       0.065 |        0.720 |        0.785
       0.072 |        1.000 |        1.073
       0.076 |        0.432 |        0.508
       0.088 |        0.896 |        0.984
       0.079 |        0.397 |        0.476
       0.109 |        0.563 |        0.673
       0.116 |        2.142 |        2.257
       0.063 |        3.023 |        3.086
       0.180 |        0.777 |        0.957
       0.070 |        1.429 |        1.499
       0.154 |        0.750 |        0.904
       0.078 |        2.710 |        2.788
       0.064 |        2.326 |        2.390
       0.104 |        1.303 |        1.407
       0.051 |        0.813 |        0.864
       0.068 |        1.088 |        1.156
       0.102 |        1.130 |        1.232
       0.139 |        0.959 |        1.098
       0.058 |        0.524 |        0.582
       0.129 |        2.119 |        2.248
       0.060 |        0.999 |        1.059
       0.071 |        0.879 |        0.950
       0.096 |        1.267 |        1.363
       0.067 |        0.588 |        0.654
       0.062 |        0.611 |        0.673
       0.076 |        0.508 |        0.584
       0.169 |        2.687 |        2.856
       0.194 |        0.460 |        0.654
       0.144 |        1.554 |        1.698
       0.161 |        0.533 |        0.694
       0.105 |        0.363 |        0.468
       0.072 |        0.313 |        0.384
       0.140 |        1.685 |        1.825
       0.063 |        0.961 |        1.025
       0.083 |        1.883 |        1.966
       0.064 |        1.292 |        1.356
       0.096 |        0.493 |        0.589
       0.148 |        0.885 |        1.033
       0.127 |        0.290 |        0.416
       0.121 |        0.461 |        0.582
       0.157 |        1.602 |        1.759
       0.109 |        1.187 |        1.296
       0.066 |        0.991 |        1.057
       0.124 |        1.706 |        1.830
       0.122 |        2.543 |        2.665
       0.066 |        0.564 |        0.629
       0.077 |        1.394 |        1.471
       0.144 |        0.927 |        1.071
       0.078 |        1.166 |        1.243
       0.086 |        1.914 |        2.000
       0.072 |        0.342 |        0.414
       0.065 |        0.459 |        0.524
       0.064 |        0.555 |        0.619
       0.052 |        0.307 |        0.359
       0.124 |        2.386 |        2.510
       0.076 |        1.479 |        1.555
       0.063 |        0.503 |        0.565
       0.217 |        0.773 |        0.990
       0.079 |        0.800 |        0.879
       0.071 |        0.349 |        0.420
       0.137 |        1.796 |        1.932
       0.101 |        0.949 |        1.050
       0.053 |        2.132 |        2.186
       0.089 |        1.376 |        1.465
       0.080 |        0.633 |        0.712
       0.114 |        0.839 |        0.953
       0.115 |        2.259 |        2.374
       0.136 |        1.620 |        1.756
       0.082 |        0.658 |        0.740
       0.068 |        1.375 |        1.443
       0.082 |        3.525 |        3.607
       0.095 |        0.556 |        0.650
       0.057 |        0.362 |        0.420
       0.063 |        0.307 |        0.370
       0.065 |        0.714 |        0.779
       0.173 |        1.852 |        2.025
       0.079 |        2.266 |        2.344
       0.158 |        0.428 |        0.585
       0.122 |        1.035 |        1.157
       0.076 |        1.072 |        1.148
       0.104 |        1.094 |        1.197
       0.144 |        0.629 |        0.774
       0.057 |        0.654 |        0.711
       0.050 |        0.640 |        0.691
       0.083 |        0.569 |        0.652
       0.066 |        1.643 |        1.709
       0.055 |        1.861 |        1.916
       0.115 |        0.818 |        0.932
       0.122 |        0.510 |        0.632
       0.103 |        0.811 |        0.915
       0.081 |        3.073 |        3.155
       0.070 |        0.539 |        0.609
       0.119 |        0.762 |        0.881
       0.126 |        1.857 |        1.983
       0.186 |        0.648 |        0.834
       0.134 |        0.941 |        1.075
       0.139 |        0.616 |        0.756
       0.076 |        1.119 |        1.195
       0.065 |        0.504 |        0.569
       0.058 |        0.436 |        0.493
       0.121 |        1.030 |        1.151
       0.119 |        0.655 |        0.775
       0.063 |        0.513 |        0.577
       0.090 |        1.705 |        1.795
       0.101 |        0.374 |        0.476
       0.067 |        0.379 |        0.445
       0.076 |        0.962 |        1.038
       0.092 |        0.659 |        0.750
       0.125 |        0.356 |        0.481
       0.082 |        1.275 |        1.357
       0.082 |        0.521 |        0.603
       0.074 |        0.424 |        0.498
       0.076 |        0.477 |        0.553
       0.073 |        1.511 |        1.584
       0.162 |        2.797 |        2.959
       0.077 |        0.446 |        0.523
       0.074 |        0.465 |        0.539
       0.107 |        0.416 |        0.522
       0.093 |        0.943 |        1.036
       0.072 |        0.645 |        0.717
       0.059 |        1.103 |        1.161
       0.188 |        0.869 |        1.057
       0.082 |        0.334 |        0.417
       0.071 |        1.245 |        1.316
       0.082 |        0.336 |        0.418
       0.061 |        1.146 |        1.208
       0.167 |        0.586 |        0.753
       0.076 |        0.478 |        0.554
       0.067 |        0.342 |        0.409
       0.137 |        1.046 |        1.183
       0.070 |        0.639 |        0.709
       0.146 |        0.898 |        1.044
       0.090 |        0.378 |        0.468
       0.116 |        0.246 |        0.362
       0.077 |        1.225 |        1.302
       0.063 |        0.262 |        0.325
       0.075 |        0.771 |        0.846
       0.115 |        0.863 |        0.978
       0.070 |        0.788 |        0.858
       0.164 |        0.618 |        0.782
       0.088 |        0.504 |        0.592
       0.149 |        0.964 |        1.113
       0.064 |        1.388 |        1.451
       0.113 |        0.657 |        0.770
       0.064 |        1.377 |        1.441
       0.143 |        0.961 |        1.104
       0.061 |        0.601 |        0.663
       0.165 |        1.102 |        1.267
       0.070 |        1.775 |        1.845
       0.144 |        1.215 |        1.359
       0.134 |        0.364 |        0.499
       0.089 |        1.198 |        1.287
       0.061 |        0.326 |        0.387
       0.124 |        1.810 |        1.933
       0.113 |        1.018 |        1.130
       0.164 |        0.310 |        0.474
       0.105 |        0.857 |        0.962
       0.127 |        1.443 |        1.570
       0.158 |        0.684 |        0.842
       0.066 |        1.536 |        1.602
       0.110 |        1.151 |        1.262
       0.066 |        0.550 |        0.616
       0.064 |        0.346 |        0.410
       0.110 |        0.686 |        0.796
       0.080 |        1.712 |        1.792
       0.095 |        0.956 |        1.051
       0.082 |        0.860 |        0.943
       0.139 |        0.916 |        1.055
       0.071 |        0.550 |        0.621
       0.060 |        0.809 |        0.869
